Video_Title,Comment_ID,Published_At,Like_Count,Comment,Comment_Length_raw,Comment_Length
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,UgxuDIBKQxmfkli9eiZ4AaABAg,2025-06-25 20:30:15+00:00,0,Horrible,8,8
Will 18% GST Kill Pakistan’s Solar Dream? | Dawn News English,UgybkKnEhCC313SKdQB4AaABAg,2025-06-25 00:16:19+00:00,0,"mujhe pakistani news channels ka ab idea hogya inki koi research nhi hoti jo hawa mai chl rhi hoti ha wohi bakwas kr dete 
news confirm kiye bagair
gst 18 se kam krke 10 percent krdi ha phle apni pori study kia kro",214,214
Pakistan govt Reconsider Controversial Solar Net Metering Rules | Dawn News English,UgzmgiSnL87tDRtWFiF4AaABAg,2025-03-28 22:31:42+00:00,0,"They make policies as if they are sitting in drawing room and making plan to go to murree. They don't have any official statement, not even a proper website to show current policy or status.",190,190
Pakistan govt Reconsider Controversial Solar Net Metering Rules | Dawn News English,UgzmgiSnL87tDRtWFiF4AaABAg.AGE8LX6Gy5IAGwBoJP3nTb,2025-04-15 10:27:48+00:00,1,Ohh Really?🤔,12,12
Pakistan Slashes Solar Buyback Rates for Consumers | Dawn News English,UgwrPhJEYSVViHWQI3R4AaABAg,2025-03-14 14:35:31+00:00,1,Eastindia company still working in pakistan.,44,44
Pakistan Slashes Solar Buyback Rates for Consumers | Dawn News English,UgxzihCDwemhawQ5hkh4AaABAg,2025-12-01 15:19:05+00:00,0,"Government should also reduce the rate of IPPs 
This is an unjustified decision.",80,80
Solar Power Surpasses Coal in EU for First Time | Dawn News English,UgxeDq70MedD13oKqO94AaABAg,2025-01-24 08:17:45+00:00,0,This theft of sunlight IS ILLEGAL,33,33
Solar Power Surpasses Coal in EU for First Time | Dawn News English,UgxeDq70MedD13oKqO94AaABAg.ADfOXuBuMAsADjcqTxn8aj,2025-01-25 23:48:27+00:00,0,Thankyou China !,16,16
Solar Power Surpasses Coal in EU for First Time | Dawn News English,UgxeDq70MedD13oKqO94AaABAg.ADfOXuBuMAsADl3MY6MunD,2025-01-26 13:08:09+00:00,1,You sound like Donald Trump...,30,30
"200,000 Families To Get Solar Home System With 80pc Subsidy: Murad | Dawn News English",UgwlrRbHSixwDUIRJKF4AaABAg,2024-08-04 06:36:16+00:00,1,Karachi is not a part of this scheme because karachi is seperated from sindh,76,76
"200,000 Families To Get Solar Home System With 80pc Subsidy: Murad | Dawn News English",UgyzUv0l51_sxkHuhY94AaABAg,2024-08-04 09:42:50+00:00,1,"Apny logon ko fayeda pohnchana hy doosron k kaandhon pr tu Pakistan zindabad warna G A Bhutto, chalaak qoum",107,107
"Pakistan Budget 2024-25: Incentives For Solar Panel Manufacture, Net Metering | Dawn News English",UgzazuVVk59nhWWuYGl4AaABAg,2024-06-11 07:23:19+00:00,0,AI takes a job of English newscatin Pakistan,44,44
Explained: Solar Net Metering In Pakistan | Dawn News English,UgxfqWwDeVzJ-eRsABJ4AaABAg,2024-06-03 15:14:18+00:00,6,Very stupid logic. Those having net metering are paying for the grid by providing electricity at one third the cost. Which is sold by DISCOs to other consumers more than double price,182,182
Explained: Solar Net Metering In Pakistan | Dawn News English,Ugx2KYDAi9naUAyftfZ4AaABAg,2024-06-03 16:09:19+00:00,1,"Reminds me of a good Indian movie maybe called ""goal"". The coach tells ace player ""to slow down, its not the goals that matter but taking the entire team together matter"". The good ace player simply replied ""tell them to pace up"" . Something similar was with this video, who actually did research? i mean even hired consultant of a coal mafia would have made things much logical then this thesis. Solar is equally bill and equally environment, educate the masses on this. What can i do if a household is willing to pay 5 million for a lehenga but not sure whether solar will benefit. Tragic!",591,591
Explained: Solar Net Metering In Pakistan | Dawn News English,UgztS4cQrCpLsswGGE54AaABAg,2024-06-04 08:35:42+00:00,0,"Ammar bha, good goings",22,22
Explained: Solar Net Metering In Pakistan | Dawn News English,UgxSmsniDZH4oMsDdL94AaABAg,2024-09-11 17:27:45+00:00,1,They paid dawn good money for this 😂,36,36
Explained: Solar Net Metering In Pakistan | Dawn News English,UgzPOQZL3xUURfh_g2l4AaABAg,2024-06-05 14:56:30+00:00,2,Superlative stupidity on display.,33,33
Explained: Solar Net Metering In Pakistan | Dawn News English,Ugx5kbdXkcuckavhcbB4AaABAg,2025-03-06 13:12:17+00:00,1,Americans k liye video bna rahy ho,34,34
Explained: Solar Net Metering In Pakistan | Dawn News English,Ugwa_IzhwRLWkUWWuid4AaABAg,2024-10-12 08:10:48+00:00,1,"Rubbish that was! Your audience is no expert in power sector. At least if you can't make the things look simpler, don't put misleading captions. smh!",149,149
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyQbyLz9jdwkYSNxyJ4AaABAg,2024-05-20 14:13:03+00:00,8,ہم 100% سولر پر شفٹ ہو جائیں گے اور واپڈا کو مکمل طور پر خیر آباد کہہ دیں گے۔ پھر خود ہی کرتی پھر حکومت کپیسیٹی پیمنٹ۔,118,118
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxcWtsWIw2-D1sPuMZ4AaABAg,2024-05-20 09:31:27+00:00,0,Solar panels and others prices must be down immediately.,56,56
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugz3Qo93kIrAK4wI8sd4AaABAg,2024-05-20 12:40:31+00:00,2,"Lies, trying to bring solar panels sales back up",48,48
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgzaiqLcKyAEeS0MxJh4AaABAg,2024-05-20 11:48:59+00:00,10,کتنی اچھی حکومت ہے ہر طرح سے عوام کا سوچتی ہے کہ کہیں سے بھی کوئی کسر رہ نہ جائے,80,80
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugzw6u7BenBSykOo6ch4AaABAg,2024-05-21 03:29:01+00:00,0,Revival of Dawn English...... keep it up. Great step,52,52
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgwDHjL34HlOuFBr8HR4AaABAg,2024-05-20 15:33:24+00:00,0,Have no words for such ppl except ukp,37,37
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgwJvMcxLyPI0omjfk14AaABAg,2024-05-20 10:41:16+00:00,3,"مطلب یہ کہ رشوت لیکر میٹر لگا سکتی ھے ! اور شاید اپنے ملازمین کو رشوت معاف کر دیتی ھو ۔
رشوت دینے کے خیال سے میں نے نیٹ میٹر لگوانے کا ارادہ ترک کر دیا ھے ! ھے نا حیرت کی بات !",176,176
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgzDjcXgOLwVK1Eudj14AaABAg,2024-05-20 15:35:14+00:00,4,"I p p band Karo, capacity charges k naam pe corruption band karo .. chor hukumat chor hukum raan",96,96
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugw_PpUdcbDNMyR6nZJ4AaABAg,2024-05-21 07:55:48+00:00,0,Talking about already held net meter agreements but not told about the new net meter connections. Means they will not give new ones.,132,132
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyJh3ZeqnuVh_Dmcox4AaABAg,2024-05-20 21:56:40+00:00,0,Retire old power plants.. dont give them capacity payments. Dont say people to give u payments on bills at very high prices.,124,124
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyC45bp_xCn7v1v4m94AaABAg,2024-05-20 17:04:25+00:00,0,Pehley  electricity ki kammi ko pura or cheap  rates per provide ki jaey phir  beshshak net metering per  gradually tax laggaaeya jaey  or ipp's ke rates ko suitables  kia jaey phir gradually  is ko khatum kia jaey keh anb tumhari zarrorat nahin hey ya apney rates kum kro ya yahaan se defa ho jao,297,297
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxO7gP1_u6vL5DJ34h4AaABAg,2024-05-21 16:09:19+00:00,0,Solar ki tadad barhne se bijli mehwngi nhi hu rahi khoto ipp k contracts ki waja se gharewbon ko mehngi milti hy. Awr solar wale bi ghareeb awam hi hyn mr america,162,162
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugyrn_0GG5DoJmBPzWF4AaABAg,2024-05-21 11:27:49+00:00,1,THEY SHOULD COME TO THE POINT “WHY IPP CONTRACTS ARE NOT BEING REVISED?”,72,72
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugyrn_0GG5DoJmBPzWF4AaABAg.A3h98u8A1OxA3k5DnkREgo,2024-05-22 14:51:15+00:00,0,Because they are owner of these ipps it self,44,44
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgykaJIlifdnR6cYlb14AaABAg,2024-05-20 14:05:40+00:00,4,پاکستان میں  سب سے زیادہ کمائی کرنے والے بجلی کےمحکمہ سے ہم اپنا حصہ لے کر جائیں گے یوں کہو,91,91
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugyd2I0sMcu3mceZnm14AaABAg,2024-05-20 18:56:56+00:00,0,Solar walon ki jaan chorain aur arboon ki jo bijli sarkari mulazmeen ko free de rhe ho ye ayaashi bnd kro,105,105
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxPXk8NhEvjiv-tyyV4AaABAg,2024-05-20 13:19:26+00:00,1,Bijli chori sare Amm ho rahi hoti koi kuch nai karta....,56,56
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxPXk8NhEvjiv-tyyV4AaABAg.A3em7cM72gNA3fBemn9Uei,2024-05-20 17:11:18+00:00,0,"Sarre aam nahin wapda ki naak ke nichchey ho rehi hey mpa or mnas k hostels room mein continuously ac chaltey rehtey hein chahey 
Rooms mein do teen ghantey ke liye koi mojood na bhi ho",185,185
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugxs-8i8tn6QgPJW8wJ4AaABAg,2024-05-20 13:17:49+00:00,1,ALLAH ka Khof karo Marna nai hai kiya,37,37
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgwvGNs3vzp_NBk7oAF4AaABAg,2024-05-21 11:03:48+00:00,0,Apna hisa pora leke jaienge ye kaho,35,35
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyA4TZBpFV4l8mnXzx4AaABAg,2024-05-26 19:15:53+00:00,0,Jhoot Australia ma kuch aisa nahi huwa. Ma waha rehta hu,56,56
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxETocM-lxk0CH6mP14AaABAg,2024-05-23 05:23:18+00:00,0,La Nu Nu ! No theaft but milli bhahgat widespread thru 3rd party frontmen of distribution's representatives۔,108,108
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugyjm2jcZJHalBf1DRh4AaABAg,2025-03-17 11:08:38+00:00,0,"Actual problem of power sector is contracts with IPPs on higher rates, Circular debts due to theft and massive corruption.
Capacity was increased without any home work and assessingg the actualfuture  demand",207,207
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgzIUEwKzPqXh5XN6fB4AaABAg,2024-05-25 00:21:10+00:00,0,"Bhai in ka qasoor nahi hai, jitne paise mile hai utna hi bolenge",64,64
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugxc6DNthWaIzFYOqPN4AaABAg,2024-05-21 16:09:14+00:00,0,"we dont need discos and ipps cancel their agreements first as that is the biggest obstacle in cutting the per unit price of the electricity, enough is enough dear minister, you can;t fool us anymore",198,198
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyEPbLFEoZQMCv6Q454AaABAg,2024-05-25 00:22:48+00:00,0,"Yeh totally corrupt log hai in se aur ummeedein bhi kiya laga sakte hai, aur chalein solar ki balancing karne,",110,110
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxpZtNSBCPelmI8VDd4AaABAg,2024-05-21 20:29:55+00:00,0,Inki zabaan pr kon bharosa krta hai ..chor policy,49,49
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyVyxwcNHD33UVYRkF4AaABAg,2024-05-20 15:17:14+00:00,0,Khud k free unit bnd kro,24,24
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgwSWaUWgx-1AGYXFFl4AaABAg,2024-05-25 10:36:25+00:00,0,Lanat hai falsified statements per,34,34
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgwWiMokQaXCatgP2-F4AaABAg,2024-05-21 08:23:50+00:00,0,tou apko tklief hai k wo 4 saal ki jaga 1 saal mein pori kr rha hai ?? aur bojh kiun dal rhe ho ghreib pei uska yeh tmhara kaam hai,131,131
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyLOrubDT_9eSjyBt54AaABAg,2024-05-22 06:44:29+00:00,0,Pakistani qom say barh ker koi baywaqoof qom ho to koi bataye.,62,62
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxXWIKNUK7VahuuVJ14AaABAg,2024-05-21 08:24:37+00:00,0,"coal powerplant tm logun nei lagwayei thei unke pasie hum kiun dein, band kro unhein",84,84
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgxNxXpwLS3BGojAs3R4AaABAg,2024-05-20 18:14:20+00:00,0,Vote chor kabhi nai hal kr sakty,32,32
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugzn8SlWNYF3_HOJ4Dt4AaABAg,2024-05-20 16:24:51+00:00,0,Stupied person you made bad dession to pay capcuty charges.,59,59
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugz-z049kye2Lfi0pVl4AaABAg,2024-05-20 16:18:43+00:00,0,Jhoot jhoot jhoot,17,17
No Plans to Scrap Solar Net Metering Policy | Dawn News English,Ugwz9clVFwZJU8vW9BN4AaABAg,2024-05-21 17:40:54+00:00,0,بینچھود جاؤ,11,11
No Plans to Scrap Solar Net Metering Policy | Dawn News English,UgyBvNqWcr9AojlEXgB4AaABAg,2024-05-21 06:18:48+00:00,0,"Minister is liar,",17,17
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugx7JOl1XFZOBu6gNjl4AaABAg,2026-02-14 09:26:41+00:00,2,Elite class k liye bills free hote hn mulk m sirf ghareeb awaam or middle class hi electric gas bills pay kerte hn,114,114
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgxLXl3dlQQYKplh1vp4AaABAg,2026-02-14 11:28:33+00:00,3,پاکستان پہ اسی کھرب سے زیادہ کا قرضہ چڑھ گیا ھے اسے اتارے گا کون ؟,66,66
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgzdRiqmd7g4g3j_PQ14AaABAg,2026-02-16 04:33:49+00:00,1,Har bandy ko chahyie Adalet ma tat.....karain,45,45
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgzFztxt36qH9m0JJpJ4AaABAg,2026-02-13 23:59:37+00:00,1,Soler walon saw paisa lo Yan ipps saw 10 saw 15 lkh Kon Laga Sakta ?,68,68
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgygqqpRzAhqJDwBiFd4AaABAg,2026-02-14 10:56:45+00:00,1,Is mulk Kay log Kabhe nahe jagay gay ye to hundustan k musalmano nay Pakistan banadia werna ye mulk Aazad na HOTA,113,113
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgwtiLpA9yfA11DCBjR4AaABAg,2026-02-14 02:14:16+00:00,1,Awam Ganjalization ka mukamal khatama chahti ha.,48,48
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgwwSt20dmACT3l244t4AaABAg,2026-02-14 05:32:45+00:00,2,کچھ بھی ہو جائے عوام نہیں جاگے گی۔,34,34
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgwwSt20dmACT3l244t4AaABAg.ATC0VChF9edATDSD_wYLMF,2026-02-14 18:54:16+00:00,0,Goli kahany ko kon nikly. Ya hakumat nahin darindy hain. Nooch nooch kar kha rahy hain. Hassan nissar say kaho bahir nikly,122,122
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugwat39uDSlOiKJoTPp4AaABAg,2026-02-14 04:14:21+00:00,1,Corrupt generals ka dia hoa gift Mubarak ho.,44,44
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgwMXIlsgAQPyjOMeOF4AaABAg,2026-02-14 08:31:26+00:00,1,HASSAN Sahb has always been defending the common layman. GOD bless him.,71,71
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugz07peACn8TWXHbIsR4AaABAg,2026-02-15 10:55:18+00:00,0,حسن نثار صاحب علیحدا چینل بنا کر پروگرام کریں بکاؤ میڈیا کو دیکھنے کو دل نہیں کرتا,82,82
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgwDGI1m8ws0hX6KxXV4AaABAg,2026-02-14 02:10:05+00:00,1,غریب اللّٰہ تعالیٰ نے پیدا کیے لیکن اس عوام کو بے نواز شریف نے بنائے,68,68
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgxtlQA6P-PYQoXPOdl4AaABAg,2026-02-14 01:27:16+00:00,0,Asim Munir sab ke government nakam a,36,36
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugwm0L0QyTO9GNwBZMN4AaABAg,2026-02-14 09:13:54+00:00,0,Sharm nhe ati in ko is waqat imran khan k sath kia ho rha ha or ya qaum ko kia churan bach rha han,98,98
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugzv8MaAlaZ-3ZkcRB14AaABAg,2026-02-13 22:37:30+00:00,0,عوام کے غصے اور بلوں کا مقابلہ جاری ہے، Last row and Camels back,64,64
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgzPGL_RZT8EhVwzn554AaABAg,2026-02-14 10:28:09+00:00,0,Bunda chawal hae .He speaks truth partially.,44,44
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgzKb9UYvUPA7MX6wXJ4AaABAg,2026-02-15 09:23:42+00:00,0,Hkoomat he hi dhoke baz,23,23
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgyrBfrndK1_ysT4Yxl4AaABAg,2026-02-14 06:28:20+00:00,0,Gujjar Khan may shoes ki shop pr mulazi jub bijli ka minister bana ipp ye hi raja pervaiz ashraf laya,101,101
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgwGVcaf4iG5ABgeNF14AaABAg,2026-02-17 04:41:41+00:00,0,hassan nissar do tokamak person and brave also intresting..,59,59
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugz3XIde9m7Y9kua-oF4AaABAg,2026-02-15 15:43:38+00:00,0,ایک وارداتیا دوسرے وارداتئیے کو ڈاکو کہہ رھا ھے۔,48,48
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgyfrZc-rPMe21xkiTt4AaABAg,2026-02-14 07:46:03+00:00,0,suty rahoooo 😂,14,14
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgwqR8_QylAMTOh1w7V4AaABAg,2026-02-14 12:10:01+00:00,0,"اپ جیسے لوگوں کی وجہ سے تمام قوم رول رہی ہے۔ حق کا ساتھ نہیں دیتے اور جو سامنے اتا ہے ان کے تعریف کے پل باندھتے ہیں۔ 
اس سے پہلے عمران کو اتنا سر پر چڑھایا کہ اخر میں خود معترف ہو کئے کہ مجھ سے زیادہ بے وقوف اور کوئی نہیں۔ اور سے پہلے پی پی پی اور اب۔۔۔",253,253
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugy-DhIfq9JHGiOcJyB4AaABAg,2026-02-14 03:03:07+00:00,0,Sirf meer gharanoon ki bijli mehgo hui hai,42,42
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugy-DhIfq9JHGiOcJyB4AaABAg.ATBkN9g9yEAATHHqiasGB0,2026-02-16 06:40:35+00:00,0,koun loug ho tum loug,21,21
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgyPT0_xI4u1-_FHkO94AaABAg,2026-02-14 06:18:07+00:00,0,Govt income ma bi izafa kre na,30,30
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,Ugx1rG_FwjrdGAow9yp4AaABAg,2026-02-14 02:59:24+00:00,0,شکر ہے یہ بکاو میڈیا بھی کچھ بولا کسی ظلم پہ عوام کے حق میی,59,59
Hassan Nisar Criticizes Govt Over Solar Net Metering Rules and High Electricity Prices | SAMAA TV,UgyGtYQq1gA2gGus0_14AaABAg,2026-02-14 16:09:50+00:00,0,Stop Corruption,15,15
Solar Net Metering | Good News for Public | Govt Major Announcement | 11 PM News Headlines |SAMAA TV,UgyG4HnjyzfcxPZ7-Bx4AaABAg,2026-02-14 12:11:18+00:00,0,"Can govt give same facilities to othter low prifile prislners? A person arranging attack on Pakustan on 9 May is given 5 stars jail and an ordinary prisoner is getting 3rd class , is it correct????",197,197
Solar Net Metering | Good News for Public | Govt Major Announcement | 11 PM News Headlines |SAMAA TV,UgwyhuMc6xkjzbrythN4AaABAg,2026-02-14 16:54:01+00:00,0,"مصدقہ شواہد سے معلوم ہو گیا ہے کہ دور حاضر کے 
*""کانڑے دجال""* 
کا ظہور ہو چکا ہے۔",81,81
"Big Blow to Solar Users | Imran's Health Update | Multan Sultans Sold, Renamed Rawalpindi | Redline",UgyykWuoDH5w4tEkMkR4AaABAg,2026-02-13 06:18:49+00:00,0,PN-332,6,6
"Big Blow to Solar Users | Imran's Health Update | Multan Sultans Sold, Renamed Rawalpindi | Redline",Ugwfmg0-Bl7MOLy-STF4AaABAg,2026-02-12 02:47:28+00:00,0,جناب ، اویس لغاری صاحب کو  لگام ڈالنا ہوگا انشاء اللہ سب ٹھیک ہو جائے گا یہ سب کچھ انہی کا کیا دھرا ہے پورا پاکستانی عوام کی بددعائیں پڑ رہی ہیں اس حکومت کو اؤر خاص کر اویس لغاری صاحب کو ۔,188,188
Iran US Tension | Bad News for Solar Holders | 11 PM News Headlines | 11 Feb 2026 | SAMAA TV,Ugyu87DNn1Yj0IMRJZ54AaABAg,2026-02-11 18:27:57+00:00,0,❤❤❤❤❤❤,6,6
Iran US Tension | Bad News for Solar Holders | 11 PM News Headlines | 11 Feb 2026 | SAMAA TV,UgwaRkoOCpfMvqObb6R4AaABAg,2026-02-11 18:29:02+00:00,0,Zalim govt,10,10
Solar Net Metering Rules | PM Shehbaz Sharif's Order| 3:30 PM News Update | 11 Feb 2026,UgwMAVVjFtO0SgwInet4AaABAg,2026-02-13 04:24:15+00:00,0,آئ پی پیز کے معاہدے ختم ھونے چاہئیے کیونکہ اس معاہدے سے غریب عوام کو دونوں ہاتھوں لوٹا جا رہا ھے۔,97,97
Solar Net Metering Rules | PM Shehbaz Sharif's Order| 3:30 PM News Update | 11 Feb 2026,UgxHyjeRGeL-iUAnHGl4AaABAg,2026-02-11 17:33:29+00:00,0,چور ہے سب,9,9
Solar Net Metering Rules | PM Shehbaz Sharif's Order| 3:30 PM News Update | 11 Feb 2026,UgxrWofe_1UlMEGzq6t4AaABAg,2026-02-11 12:16:55+00:00,0,😅😅😅😂😂😂,6,6
"End of net metering: NEPRA overhaul hits solar users, transfers costs to consumers | SAMAA TV",UgxE4l7oYTob1J7Bzsl4AaABAg,2026-02-11 12:50:27+00:00,6,نیپرا کی  ہر ممبر کی تنخواہ تیس سے پینتیس لاکھ ماہانہ ہے ، اور یہ ہے ان کی کارکردگی,83,83
"End of net metering: NEPRA overhaul hits solar users, transfers costs to consumers | SAMAA TV",UgxTSKKtmEPjtoA8pLh4AaABAg,2026-02-11 02:11:28+00:00,5,Bhai muft ky units istmal karny walon sy bhe bill wasool karin,62,62
"End of net metering: NEPRA overhaul hits solar users, transfers costs to consumers | SAMAA TV",UgxTSKKtmEPjtoA8pLh4AaABAg.AT3w4CE8Sw5AT53E2xmsuP,2026-02-11 12:41:57+00:00,0,Why exemptions of utility bills of big wigs not done away with? why people common man is subjected to bear the burden of these irregular exemptions? They in chairs past and existing are out to fleecing common man?,213,213
"End of net metering: NEPRA overhaul hits solar users, transfers costs to consumers | SAMAA TV",UgzaR4TSwhGIeAjHXP14AaABAg,2026-02-12 21:38:09+00:00,1,Logon na bohat mushkil sa solar lagwan  ha ya bohat bara zulam ha,65,65
